B2_Blue	B3_Green	B4_Red	B8_NIR	B11_SWIR1	B12_SWIR2	NDVI	NDWI	EVI	SAVI	Elevation	Slope	Aspect	Annual_Rainfall	LST_Celsius
675.1333333333333	1124.75	1369.7	2807.5	2441.0	1907.0	0.34420186	-0.42793566	0.6027803863697343	0.5162409938482897	1054	1	308	347.9624654054642	28.670000000000016
426.44444444444446	675.7777777777778	914.5	3447.5	1737.8	1307.1666666666663	0.58069694	-0.6722133	1.1037678296487814	0.8709455587392549	1024	5	301	347.9624654054642	26.4016666666667
557.75	1028.0	725.5	4613.25	2545.0	1362.25	0.72821355	-0.6355418	2.031588848535521	1.0922180081472117	1008	2	270	361.4255093336105	30.390000000000043
934.6666666666666	1280.5	1399.5	4434.75	2628.5	1632.25	0.5202468	-0.5519006	1.3031857799149886	0.7803033548995244	1008	1	270	361.4255093336105	29.805000000000007
772.75	1103.1666666666663	1220.5	3842.083333333333	2630.0	1793.6666666666663	0.5178351	-0.55384797	1.2203722525234502	0.776675938574979	1011	4	298	342.8532919883728	28.71000000000004
629.0	958.8	939.5	4294.333333333334	2620.0	1684.5	0.6409897	-0.6349607	1.6083128255936594	0.9613927275042986	1006	1	52	342.8532919883728	26.7766666666667
848.4444444444445	1197.6666666666667	1492.5	3535.0	2439.2	1878.0	0.40626553	-0.49387237	0.8333106674645052	0.6093377088305489	1005	0	0	342.8532919883728	26.930000000000007
610.0	895.9345238095239	1008.0	3617.5	2698.5	1752.5	0.5641552	-0.6029921	1.2813021702838063	0.8461413748378729	1004	0	0	341.9920109510422	27.97142857142859
1249.5	1579.25	1858.7	3236.8	3009.0	2334.75	0.27045432	-0.3441721	0.6864757160647572	0.4056416797488227	1003	3	128	341.9920109510422	27.75500000000005
1164.2	1500.625	1646.8333333333333	3714.0	2998.0	2280.0	0.38560548	-0.42445526	1.0623736595059443	0.5783542651081821	1000	4	298	341.9920109510422	25.86666666666673
1376.0	1631.571428571429	1959.25	3901.0	3347.25	2643.5	0.33134252	-0.4101942	0.9094847775175644	0.4969713773834406	1005	3	0	346.4288868904114	26.870000000000005
978.75	1307.3333333333337	1247.0	4312.5	2577.25	1707.75	0.5513985	-0.534743	1.7203064059036448	0.827023381294964	1002	4	62	341.9920109510422	26.510000000000048
895.75	1193.5555555555557	1221.9	4000.75	2647.0	1711.5	0.53207666	-0.5404369	1.5053277067838198	0.7980385399615175	1003	3	292	351.20870649814606	26.1877777777778
863.0	1035.571428571429	1110.5	3824.833333333333	2261.333333333333	1497.75	0.54997975	-0.5738744	1.6895592995269322	0.8248860374810063	1005	3	112	351.20870649814606	29.58000000000004
918.0	1256.0	1510.0	3441.0	2581.5	1884.5	0.39002222	-0.46519056	0.8594445433505429	0.5849742502272038	1007	1	0	342.8532919883728	28.100000000000023
1063.764705882353	1365.9333333333334	1376.0625	3609.25	2810.55	1870.142857142857	0.44795337	-0.4509013	1.435804837553728	0.6718626602985973	1004	1	308	341.2280286550522	28.99000000000001
1175.809523809524	1510.304347826087	1701.7	2862.1666666666665	3414.0	2628.6	0.2542727	-0.30917582	0.6818581163885677	0.3813672579620392	1002	2	0	341.2280286550522	28.53000000000003
1194.2	1416.5	1616.8	3975.2333333333336	3099.25	2279.5	0.4217488	-0.474566	1.2490290645124846	0.6325666364676712	1003	6	72	335.8045070171356	28.66666666666669
814.3333333333334	929.7916666666669	1008.8571428571428	2451.5	2240.0	1875.6	0.41690576	-0.4500376	1.5039167212724134	0.625268306777842	1001	0	0	335.8045070171356	27.82142857142861
780.5	1007.5	1087.75	3314.0	2151.333333333333	1612.0	0.5057648	-0.5337267	1.395680521597392	0.758560963143847	1002	1	128	315.3364897966385	29.03000000000003
475.1764705882353	735.2	819.875	3087.9	1838.125	1209.75	0.58038783	-0.61539066	1.2757979274302798	0.8704703481715079	1004	1	90	332.77241134643555	29.390000000000043
778.0	1137.0	1387.8	2577.0	2475.333333333333	1835.5	0.29993945	-0.38772213	0.5864136652333427	0.4498524701788011	1005	3	180	322.0292956829071	27.715000000000032
607.8695652173913	924.8214285714286	1097.8	2803.0	2115.666666666667	1515.3333333333333	0.4371411	-0.5038274	0.8822838652436003	0.6556276113090508	1006	4	75	322.0292956829071	28.340000000000032
592.4285714285714	971.1666666666666	943.6666666666666	3201.0	2091.75	1110.5	0.54463565	-0.5344545	1.2765453243067115	0.8168549716537333	1006	1	180	322.0292956829071	29.62200000000001
480.1111111111111	751.4285714285714	910.0	3147.0	1928.75	1265.75	0.5513927	-0.6144967	1.116899111273841	0.8269870609981516	1008	1	180	306.0836509466171	28.84333333333336
1063.4166666666667	1456.7777777777778	1703.5	3468.0	2598.5	2027.2	0.34119695	-0.40838844	0.7719566881767475	0.511745939675174	1012	1	52	298.0724585056305	27.470000000000027
800.5555555555555	1041.125	1377.5	2447.6	2153.333333333333	1623.25	0.27975738	-0.4031487	0.568061974901439	0.4195812421580928	1015	2	32	342.5904871225357	28.730000000000015
590.2	1006.5833333333334	976.0	3483.0	1782.25	1160.3333333333333	0.5622337	-0.55159163	1.2755673145415691	0.8432559704002691	1013	1	270	313.02133202552795	27.19000000000005
781.5	1173.0	1547.75	3571.0	2772.6	2011.0	0.3952625	-0.5054806	0.7228732716424309	0.5928358646286077	1019	2	180	356.1160373687744	28.414000000000044
734.7692307692307	1048.3	1565.375	2888.0	2446.5	1897.0	0.29699385	-0.46736783	0.4883792765540454	0.4454407678706744	1022	1	232	342.5904871225357	28.640000000000043
739.5	1058.6666666666667	1577.3333333333333	3378.0	2628.0	2022.5	0.36337954	-0.52276486	0.6169413323283197	0.5450142929208004	1029	3	112	365.72479593753815	29.385000000000048
605.6363636363636	938.6923076923076	1302.5	2199.4	2107.25	1592.0	0.25611812	-0.40174335	0.4096835115041425	0.3841223161260849	1082	3	128	373.9929376840592	31.220000000000027
527.5666666666666	889.0	918.0833333333331	3740.5	1775.0	1070.5	0.605853	-0.6159412	1.3330263385758592	0.9086819653365292	1025	2	212	368.90616822242737	29.12200000000001
559.8571428571429	856.5	1138.5	2922.6666666666665	2329.0	1701.0	0.43932366	-0.54672545	0.8028486206881774	0.6589043906442347	1023	3	248	368.90616822242737	28.77000000000004
554.2857142857143	817.0	1040.6666666666667	2740.333333333333	1966.0	1413.375	0.44952834	-0.5406672	0.8800743648414077	0.6742033584556394	1021	4	255	365.8749729394913	27.54666666666668
506.0	734.5	1008.0	3117.0	1910.5	1481.0	0.5112727	-0.6185902	0.9816607708061812	0.7668161434977578	1028	4	62	352.8608590364456	27.01800000000003
788.75	1129.4	1326.6666666666667	4093.0	2255.75	1514.0	0.510425	-0.56747854	1.1266553987550991	0.7655668644875617	1008	2	180	342.8532919883728	28.03800000000001
856.3333333333334	1246.6	1251.6666666666667	3912.0	2973.5	2051.625	0.5152024	-0.51669055	1.3300336633003365	0.7727287397127641	1000	1	308	335.8045070171356	28.555000000000007
1124.2	1244.875	1362.857142857143	2781.333333333333	2700.5	2350.6666666666665	0.34228066	-0.3816142	1.4027784318342351	0.5133590307737379	999	4	308	361.17630755901337	28.54000000000002
1047.3333333333333	1311.7142857142858	1363.3333333333333	3033.2	2464.666666666667	1832.6	0.3798144	-0.39620706	1.2427562117964588	0.5696568140640281	1000	3	292	315.3364897966385	28.720000000000027
843.2	1109.375	1070.6666666666667	2821.75	2448.6964285714284	1587.8333333333333	0.44987047	-0.43559414	1.4978045790208991	0.6747190409932569	1005	1	90	332.77241134643555	28.15500000000003
861.1111111111111	1100.6666666666667	1167.0	3183.333333333333	2394.0	1649.0	0.46348938	-0.48615003	1.3521548640915593	0.6951541850220264	1003	2	270	327.9111565351486	27.628333333333387
606.5	862.8	859.2727272727273	1948.5	1808.0	1264.5	0.38793284	-0.38619143	1.065202123025222	0.5817956686413519	1003	1	52	327.9111565351486	27.39500000000004
623.5	888.8333333333333	1212.625	2474.5	1931.75	1530.5	0.3422382	-0.4714569	0.6216133004926108	0.5132876851632148	1007	0	0	300.7244784832001	27.81800000000004
706.9358974358975	1047.0833333333333	1132.571428571429	3569.75	2278.25	1653.6666666666667	0.51829267	-0.54640627	1.2031506156712164	0.7773562982707949	1006	1	52	300.10637974739075	27.417272727272746
672.0	942.1428571428572	1156.294642857143	2782.25	2045.75	1519.25	0.41283152	-0.494069	0.8683770318573876	0.6191686707935435	1008	1	0	306.9303535223007	28.0866666666667
456.6666666666667	684.25	890.0	2981.0	1714.0	1129.6666666666667	0.5401705	-0.62662846	1.067490300183786	0.8101511042231693	1009	1	52	300.10637974739075	27.823333333333323
800.6666666666666	1166.0	1265.0	3771.0	2260.0	1675.6666666666667	0.49761716	-0.5276484	1.1694978532760874	0.7463516330785267	1009	4	18	294.7953097820282	27.450000000000045
666.5714285714286	1071.6	1365.75	2451.0	2200.5	1754.3333333333333	0.28433877	-0.39158577	0.480435992461517	0.4264522889514702	1010	3	337	294.7953097820282	27.9883333333334
871.9	1121.3333333333333	1318.142857142857	3085.0	2637.714285714286	2056.333333333333	0.40127182	-0.46683574	0.9913672178715424	0.6018393862224457	1007	2	148	314.44958823919296	27.58500000000004
865.6666666666666	1160.0	1288.0	3422.0	2467.0	1900.0	0.45307857	-0.49367088	1.1452184179456906	0.67954569578601	1007	1	128	330.37907510995865	28.31400000000002
621.0	1009.0	1147.6666666666667	3450.0	2278.6666666666665	1580.0	0.5007613	-0.5474322	1.0134401502479675	0.7510602051542281	1004	3	308	330.37907510995865	27.856666666666683
997.2	1322.1818181818182	1572.2857142857142	2817.0	2422.25	1966.0	0.28358015	-0.36113855	0.6519949714148882	0.4253217696926307	1003	1	232	346.90719270706177	27.92500000000001
1051.6923076923076	1309.2307692307693	1559.5	2649.8	2707.6666666666665	2112.5	0.2590217	-0.33861047	0.6615725130411081	0.3884863889020856	1001	1	90	346.90719270706177	28.620000000000005
731.0	984.7777777777778	1172.7777777777778	3175.0	2325.0	1648.5	0.4605162	-0.5265238	1.0582197009736558	0.6906949111397872	1000	1	128	327.4719817042351	29.403333333333364
811.6428571428571	1107.1666666666667	1232.1333333333334	3089.6666666666665	2477.8888888888887	1854.6964285714284	0.4298055	-0.47237998	1.056342109239642	0.6446336441246557	1003	1	90	317.8881287574768	27.930000000000007
800.4166666666666	1060.5833333333333	1339.7083333333337	2350.0	2305.166666666667	1903.25	0.27381343	-0.37806338	0.5758452316490447	0.4106644837125275	1004	3	52	317.8881287574768	28.27000000000004
710.85	1012.6666666666666	1080.8333333333337	3753.75	2183.666666666667	1303.5	0.55287427	-0.5750826	1.3614061001179956	0.8292256252046671	1002	2	212	317.8881287574768	27.83000000000004
