Label,B2_Blue,B3_Green,B4_Red,B8_NIR,B11_SWIR1,B12_SWIR2,NDVI,NDWI,EVI,SAVI,Elevation,Slope,Aspect,Annual_Rainfall,LST_Celsius,Longitude,Latitude
1,554.2857142857143,817.0,1040.6666666666667,2740.3333333333335,1966.0,1413.375,0.44952834,-0.5406672,0.8800743648414077,0.6742033584556394,1021,4,255,365.8749729394913,27.54666666666668,32.50091223215167,37.735305561187715
1,506.0,734.5,1008.0,3117.0,1910.5,1481.0,0.5112727,-0.6185902,0.9816607708061813,0.7668161434977578,1028,4,62,352.8608590364456,27.01800000000003,32.485551040793226,37.72533426153399
1,788.75,1129.4,1326.6666666666667,4093.0,2255.75,1514.0,0.510425,-0.56747854,1.1266553987550991,0.7655668644875617,1008,2,180,342.8532919883728,28.03800000000001,32.575023243091536,37.832323611872624
1,856.3333333333334,1246.6,1251.6666666666667,3912.0,2973.5,2051.625,0.5152024,-0.51669055,1.3300336633003365,0.7727287397127641,1000,1,308,335.8045070171356,28.555000000000007,32.71596891116989,37.78111964067781
1,1124.2,1244.875,1362.857142857143,2781.333333333333,2700.5,2350.6666666666665,0.34228066,-0.3816142,1.4027784318342353,0.5133590307737379,999,4,308,361.17630755901337,28.54000000000002,32.75774057188144,37.77707722189927
1,1047.3333333333333,1311.7142857142858,1363.3333333333333,3033.2,2464.666666666667,1832.6,0.3798144,-0.39620706,1.2427562117964588,0.5696568140640281,1000,3,292,315.3364897966385,28.720000000000027,32.74749977764248,37.74851079586427
1,843.2,1109.375,1070.6666666666667,2821.75,2448.6964285714284,1587.8333333333333,0.44987047,-0.43559414,1.4978045790208991,0.6747190409932569,1005,1,90,332.77241134643555,28.15500000000003,32.7814560953822,37.733149604505826
1,861.1111111111111,1100.6666666666667,1167.0,3183.3333333333335,2394.0,1649.0,0.46348938,-0.48615003,1.3521548640915593,0.6951541850220264,1003,2,270,327.9111565351486,27.628333333333387,32.8167598860481,37.739078485381015
1,606.5,862.8,859.2727272727273,1948.5,1808.0,1264.5,0.38793284,-0.38619143,1.065202123025222,0.5817956686413519,1003,1,52,327.9111565351486,27.39500000000004,32.81783786438904,37.708625597249366
1,623.5,888.8333333333333,1212.625,2474.5,1931.75,1530.5,0.3422382,-0.4714569,0.6216133004926108,0.5132876851632148,1007,0,0,300.7244784832001,27.81800000000004,32.81190898351385,37.67197433365729
1,706.9358974358975,1047.0833333333333,1132.5714285714287,3569.75,2278.25,1653.6666666666667,0.51829267,-0.54640627,1.2031506156712164,0.7773562982707949,1006,1,52,300.10637974739075,27.417272727272746,32.82295826150852,37.64556386430417
